,6432.KL,3301.KL,5271.KL,2089.KL,5151.KL,7230.KL,1015.KL,8117.KL,5053.KL,5041.KL,7161.KL,6459.KL,7103.KL,7501.KL,5056.KL,5247.KL,4286.KL,9407.KL,5249.KL,5878.KL,7035.KL,7187.KL,7609.KL,7252.KL,7246.KL,5211.KL,7004.KL,5273.KL,7197.KL,3565.KL
7103.KL,0.06279697030179193,0.07073463114102743,0.048690963858524644,-0.007372059163385375,0.07006192575476,0.00326185778918462,0.1300443878995182,-0.03402399739565435,0.1324340438289758,0.06557254273476561,0.07375292411609824,0.10516339263232617,0.9629652847271403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7501.KL,0.03673791244704497,0.0752660525036136,0.02926000768289583,0.0680407373805119,0.009755761754060881,-0.019250308722177523,0.0751435999203499,0.051410281727348864,0.02054882868836781,0.06476172412680874,-0.03773955744213959,0.07140325067680837,0.045580436740251314,0.9826127010669957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5056.KL,0.08108009418556379,0.08979625231092761,0.004631643620332539,0.011777571182234308,0.020794102498144493,0.026023994022893605,0.06842677181252135,-0.00727444747193237,0.10431546691285666,0.07253387567902805,0.029172126628762736,0.05222095892478357,0.02872186721903281,-0.0023735103957764044,0.9791865011081388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5247.KL,-0.014259865153180002,0.117447249782896,0.006968776082357526,0.004442250107038832,0.07797168620933108,0.055688900823540874,0.05755449971215066,0.05198115038453718,0.07533129138472033,0.04449767400838315,0.005822193174892011,0.05673315153798497,0.03223448885520662,0.018947481688409384,0.026126750316048393,0.9786475530514861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4286.KL,0.06111234034478114,0.06935144697887258,0.043457165017940474,0.04286496438203743,0.02297147932179207,0.0743849852454284,-0.009527481300526261,0.04681546336875941,0.11183257308499735,0.00010363246398959608,0.01243873316186482,0.0457307356261621,0.013156386777422932,0.01688211969236472,0.05054565254108162,0.0317857390963659,0.9801074445227734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9407.KL,0.13208638704649958,0.11962385377003805,-0.001694656002150489,0.0347834580861416,0.02403392331301799,0.07110269958840669,0.09963069646565634,0.03768857419638499,0.08287019983037891,-0.01648331070771065,0.031675727316279045,0.03820452748567737,0.06208996265910494,0.01643108175540817,0.0007004241084177904,0.05344109697041882,0.0005022861271446838,0.9661607975251665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5249.KL,0.11687333655925669,0.12355511894660122,0.05999465994145724,0.03122307263761504,0.03033856282709104,0.0655725299743238,0.1557734602244653,0.07455583465919305,0.17478770849224928,0.01670363396047057,0.14566364001213966,0.07166488658698913,0.055494133809818415,-0.009516448442508775,-0.02007152061479745,0.07138713685836169,0.04335966658911614,0.040598546978291884,0.9284801709108125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5878.KL,0.07828043503488105,0.11966672851758312,0.05130816185337495,0.05410735391027326,0.05467821373331744,0.050163020791545235,0.0950032507204775,0.025328084882000546,0.0951864816097028,-0.026947632444833326,0.0667854988394052,0.050845057975148045,0.06305784719520716,-0.01253779191396166,0.08372783958888232,0.09495001581136657,0.022064823932789263,-0.03938447515546468,0.03729829059553382,0.9583308846106026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7035.KL,0.09028447138676339,0.07746286125877803,0.08285753688727227,0.04509527527479219,-0.022081982804919537,0.14085114404940316,0.08067407058542142,0.03077343429707915,0.0851279131654082,-0.0037943205346303312,0.09576461898064921,0.10402614354363451,0.07267418630472453,-0.009908133865497054,0.05249220671234245,0.026514470022476668,0.014983428904374183,0.0037068503980244166,0.03135763358191964,0.030475867693919058,0.954424096102303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7187.KL,0.05250626741885512,0.09768854018542263,0.06892291492087488,0.029925794361256784,0.07940528512369549,-0.022015550773953275,0.09298545013091422,-0.0014312661819332678,0.14162708674663427,-0.06289916272079663,0.0036335067900152476,0.06788233623434527,-0.03202277980091237,0.02833938615095424,0.03135022313272958,0.09226344748820584,0.04834516708809701,0.04424151981464682,0.02863714603040003,-0.011640717375309025,0.03783344557472685,0.9591530922185035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7609.KL,0.09132780866840842,0.11355682147523184,0.08082709134350473,0.012927714210571673,0.13121134857580483,-0.026529271041868936,0.13786981963608938,0.03092432262560477,0.0750202610660243,-0.06785639404045735,0.014311874043766997,0.05923373292652348,0.03676916641580836,-0.012686732578267116,0.03528945939682565,0.060021591103563844,0.03852484270268815,0.027300616583702447,0.02749768790244331,0.07196116254223156,-0.0020251783835764847,0.13308192602437063,0.9423340904299873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7252.KL,0.1359614927009827,0.060560205461802144,0.019440202610791178,-0.026900324001640146,0.0823838627314073,0.03146264470792587,0.11236874812131223,0.07871433465624471,0.14677448553329944,0.01040793836789797,0.06722276502259837,0.09341603740271683,0.05110215037057389,0.022285793433844604,0.02421061014459529,0.0808354327834828,0.05840119495508671,0.05207274369958767,0.04419148053808438,0.025303862285237053,0.10452330403526292,0.047745288246429575,0.009607934657278307,0.9396850948092051,0.0,0.0,0.0,0.0,0.0,0.0
7246.KL,0.06391532292640395,0.06030988239090048,0.051825379031734134,0.03305722937869926,0.07522957790238012,-0.0018935830057138022,0.14084606580025028,0.014975427287126326,0.05343828741793859,-0.024790211294595948,0.08710437568761635,0.012503601577529522,0.03444070352005922,0.03862745474205325,0.016622471505725916,0.0882377060169571,0.033650484931053604,0.05687851253560724,0.01984592818044675,0.025364494551886534,0.07259723057737223,0.13636010232014117,0.09529132442765939,0.03553678939718369,0.949319394808888,0.0,0.0,0.0,0.0,0.0
5211.KL,0.13246352803703945,0.13388159758789403,0.04661097458219739,0.11428378049319989,0.022007324594803118,0.12155217490363376,0.17903551801964904,0.04881757806310758,0.19331746979349976,0.04018071873559754,0.18449388214580129,0.07930602735736898,0.053419154465008126,0.01528237890076216,0.021325348816557736,0.07781616653368532,0.04173206541819725,0.04014845015118805,0.15581261237639119,0.14211692117229258,0.07842922728070531,-0.024851475019115724,0.01441257943321854,0.04252402200280405,0.028421473521951537,0.8679101314834713,0.0,0.0,0.0,0.0
7004.KL,0.032621068053982336,0.04185424260285921,0.06449768009253869,0.05813259541309573,0.01020654269459951,0.04108279085493073,0.05794778379923891,0.04327402123030578,0.09743711381924536,0.03917922548910554,0.03136425763796944,0.10323580643678541,0.06028420456674476,-0.013982339916195399,-0.023455081733260583,0.052040931789591384,-0.0009587528568517254,0.03111324154407776,0.020761689515274902,0.02330432119344994,0.03873832851229335,0.025423078901573047,-0.004421396344052733,0.06986214573825157,-0.03803791473423448,0.06185051041672329,0.9688142347023807,0.0,0.0,0.0
5273.KL,0.027826111253195722,0.036656300146965456,0.059406343903367874,0.06733083292752194,0.1150900317092294,0.09720184808474538,0.03684193925012055,0.01797837930046736,0.027632242797959658,0.03995429085555318,-0.001345207259794434,-0.01897350757956427,0.03589772595165741,0.0546585704410754,0.042606587671472115,0.0234355027936615,0.04715897155942801,-0.0265521015616117,0.046294480620258024,0.025421185061329305,0.0183879195164244,0.10865588857962122,0.053621306207971134,0.02848678793787168,0.14862665449739287,-0.015857300212388434,-0.01230205624556216,0.9550081301672452,0.0,0.0
7197.KL,0.04450646384221312,0.04498824036824965,-0.0008351186938924456,0.07076821810729016,0.03931466037799988,0.005960808206071484,0.033101971143332506,0.0034555293681237183,0.07587391266066752,-0.011209305258059752,0.00756027707417855,0.034772712730005255,0.02985168041648206,-0.001382138335970591,0.01757784616264246,0.09429209198848114,0.051536365804632514,0.08892002878562763,-0.010438587437357906,0.04772178254850334,-0.030221369453448728,0.1835276043345223,0.08565408425348198,0.009841413208997798,0.06124503850121204,0.0011347552203281699,-0.014944456604760667,-0.021528421964353457,0.9547975635499748,0.0
